Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C100, C101, C102, C105, C106, C107, C108, C109, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C3, C4, C44, C45, C47, C49, C5, C50, C51, C52, C58, C59, C6, C60, C66, C67, C68, C7, C74, C75, C76, C8, C82, C83, C84, C95, C96, C97",0402,51,100n,
"C10, C11, C12, C13, C14, C28, C29, C30, C31, C39, C40, C42, C43, C9, C90, C93, C94",0805,17,10u,
"C103, C110, C112, C114, C116, C118, C120, C122, C124, C53, C56, C61, C64, C69, C72, C77, C80, C85, C88, C98",0402,20,10n,
"C104, C111, C113, C115, C117, C119, C121, C123, C125, C54, C57, C62, C65, C70, C73, C78, C81, C86, C89, C99",0603,20,1u,
"C32, C33, C34, C38, C41",0805,5,22u,
C35,0402,1,56p,
C36,0402,1,15p,
C37,0402,1,12p,
"C46, C48",0603,2,4u7,
"C55, C63, C71, C79, C87",0402,5,100p,
C91,0603,1,470n,
C92,0805,1,1u,
D1,0603,1,WHITE,
"D10, D11, D12, D13, D15, D16, D17, D18, D19, D9",0402,10,GREEN,
"D2, D6",D_SMA,2,B340A-13-F,
"D3, D4, D5",0603,3,RED,
"D7, D8",0603,2,YELLOW,
"FB1, FB10, FB11, FB12, FB2, FB3, FB4, FB5, FB6, FB7, FB8, FB9",0805,12,150,
"IC1, IC11, IC12, IC3, IC5, IC7, IC9",VQFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm,7,THS4541IRGTT,
"IC10, IC2, IC4, IC6, IC8",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,5,TLV3801DSGR,
J1,TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal_Modified,1,Screw_Terminal_01x02,
J2,GCT_USB4105-GF-A_Modified,1,GCT_USB4105-GF-A,
"L1, L2, L3",0805,3,2u2,
"R10, R5, R8",0402,3,15k,
"R100, R35, R36, R43, R44, R51, R52, R70, R71, R78, R79, R92, R93, R99",0402,14,200,
"R101, R102, R37, R38, R45, R46, R53, R54, R72, R73, R80, R81, R94, R95",0402,14,390,
"R103, R108, R113, R118, R119, R16, R30, R88",0402,8,1k,
"R104, R105, R107, R109, R110, R112, R114, R115, R117, R120, R121, R122, R123, R126, R127, R130, R133, R137, R139, R84, R85, R87",0402,22,51,
"R106, R111, R116, R124, R125, R131, R132, R134, R135, R136, R138, R32, R33, R40, R41, R48, R49, R67, R68, R75, R76, R86, R89, R90, R96, R97",0402,26,100k,
"R11, R12, R13, R15, R23, R24, R26, R31",0402,8,4k7,
"R128, R129, R140",0402,3,1Meg,
"R17, R18",0402,2,5k1,
"R19, R20",0402,2,27,
"R2, R3, R39, R47, R55, R74, R82",0402,7,560,
"R21, R22",0402,2,470,
"R25, R27, R28, R29",0402,4,10k,
"R34, R42, R50, R69, R77, R91, R98",0402,7,62,
R4,0402,1,270,
"R56, R57, R58, R59, R60, R62, R63, R64, R65, R66",0402,10,360,
R6,0402,1,18k,
R7,0402,1,47k,
R83,0402,1,33k2,
R9,0402,1,68k,
TP1,TestPoint_Pad_D3.0mm,1,TP5V0,
"TP2, TP7",TestPoint_Pad_D3.0mm,2,TPGND,
TP3,TestPoint_Pad_D3.0mm,1,TP1V1,
TP4,TestPoint_Pad_D3.0mm,1,TP2V5,
TP5,TestPoint_Pad_D3.0mm,1,TP3V3,
TP6,TestPoint_Pad_D3.0mm,1,TP3V3A,
U1,BGA256C80P16X16_1400X1400X170_Masked,1,LFE5U-25F-6BG256C,
"U10, U11, U12, U13, U14, U15, U16, U9",SOT-363_SC-70-6,8,LTC6752ISC6-4#TRMPBF,
"U2, U3, U4",SOT-23-5,3,TLV62569DBV,
U5,Texas_DRT-3,1,TPD2EUSB30A,
U6,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,
U7,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U8,MSOP-12-1EP_3x4.039mm_P0.65mm_EP1.651x2.845mm,1,LT3045EMSE#TRPBF,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,OT322550MJBA4SL,
